local,filename,path,falha,tamanho
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.91
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.79
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.81
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.5
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.6
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.12
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.6
2E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.54
3A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.8
3B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.56
3B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.59
3B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.46
3F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.14
3F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.34
3F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.42
3F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.38
5B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.58
5F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.49
8E,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.58
9B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.48
11B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,10.93
11B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.18
11D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.46
11D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.53
11D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.57
12A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.64
12A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.17
12A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.14
12A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.2
13A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.59
13B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.59
13F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,12.91
